state,state_code,state_name,county_code,county,fips_code,match_county,kabbage_loans,all_loans,kabbage_percentage
AL,01,Alabama,001,Autauga County,01001,AUTAUGA,5,909,0.5500550055005501
AL,01,Alabama,003,Baldwin County,01003,BALDWIN,63,5563,1.1324824734855294
AL,01,Alabama,005,Barbour County,01005,BARBOUR,19,735,2.585034013605442
AL,01,Alabama,007,Bibb County,01007,BIBB,6,294,2.0408163265306123
AL,01,Alabama,009,Blount County,01009,BLOUNT,3,691,0.43415340086830684
AL,01,Alabama,011,Bullock County,01011,BULLOCK,5,216,2.314814814814815
AL,01,Alabama,013,Butler County,01013,BUTLER,10,448,2.232142857142857
AL,01,Alabama,015,Calhoun County,01015,CALHOUN,46,1837,2.5040827436037016
AL,01,Alabama,017,Chambers County,01017,CHAMBERS,16,1018,1.5717092337917484
AL,01,Alabama,019,Cherokee County,01019,CHEROKEE,2,315,0.6349206349206349
AL,01,Alabama,021,Chilton County,01021,CHILTON,11,676,1.6272189349112427
AL,01,Alabama,023,Choctaw County,01023,CHOCTAW,3,297,1.0101010101010102
AL,01,Alabama,025,Clarke County,01025,CLARKE,8,535,1.4953271028037385
AL,01,Alabama,029,Cleburne County,01029,CLEBURNE,5,204,2.450980392156863
AL,01,Alabama,031,Coffee County,01031,COFFEE,15,1021,1.4691478942213516
AL,01,Alabama,033,Colbert County,01033,COLBERT,4,1037,0.3857280617164899
AL,01,Alabama,035,Conecuh County,01035,CONECUH,8,313,2.5559105431309903
AL,01,Alabama,037,Coosa County,01037,COOSA,2,91,2.197802197802198
AL,01,Alabama,039,Covington County,01039,COVINGTON,20,940,2.127659574468085
AL,01,Alabama,041,Crenshaw County,01041,CRENSHAW,1,385,0.2597402597402597
AL,01,Alabama,043,Cullman County,01043,CULLMAN,8,1876,0.42643923240938164
AL,01,Alabama,045,Dale County,01045,DALE,6,969,0.6191950464396285
AL,01,Alabama,047,Dallas County,01047,DALLAS,22,1440,1.5277777777777777
AL,01,Alabama,051,Elmore County,01051,ELMORE,8,1311,0.6102212051868803
AL,01,Alabama,053,Escambia County,01053,ESCAMBIA,9,859,1.0477299185098952
AL,01,Alabama,055,Etowah County,01055,ETOWAH,45,1799,2.501389660922735
AL,01,Alabama,057,Fayette County,01057,FAYETTE,14,253,5.533596837944664
AL,01,Alabama,059,Franklin County,01059,FRANKLIN,4,546,0.7326007326007326
AL,01,Alabama,061,Geneva County,01061,GENEVA,5,630,0.7936507936507936
AL,01,Alabama,063,Greene County,01063,GREENE,3,422,0.7109004739336493
AL,01,Alabama,065,Hale County,01065,HALE,9,675,1.3333333333333335
AL,01,Alabama,067,Henry County,01067,HENRY,2,485,0.4123711340206186
AL,01,Alabama,069,Houston County,01069,HOUSTON,23,3119,0.7374158384097467
AL,01,Alabama,071,Jackson County,01071,JACKSON,1,959,0.10427528675703858
AL,01,Alabama,073,Jefferson County,01073,JEFFERSON,332,19448,1.707116412998766
AL,01,Alabama,075,Lamar County,01075,LAMAR,3,254,1.1811023622047243
AL,01,Alabama,077,Lauderdale County,01077,LAUDERDALE,9,2049,0.43923865300146414
AL,01,Alabama,081,Lee County,01081,LEE,67,3122,2.146060217809097
AL,01,Alabama,083,Limestone County,01083,LIMESTONE,18,1486,1.2113055181695829
AL,01,Alabama,085,Lowndes County,01085,LOWNDES,2,278,0.7194244604316548
AL,01,Alabama,087,Macon County,01087,MACON,12,389,3.0848329048843186
AL,01,Alabama,089,Madison County,01089,MADISON,114,8165,1.3962033067973056
AL,01,Alabama,091,Marengo County,01091,MARENGO,7,620,1.129032258064516
AL,01,Alabama,093,Marion County,01093,MARION,4,515,0.7766990291262136
AL,01,Alabama,095,Marshall County,01095,MARSHALL,8,1869,0.4280363830925628
AL,01,Alabama,097,Mobile County,01097,MOBILE,455,14136,3.2187323146576117
AL,01,Alabama,099,Monroe County,01099,MONROE,20,568,3.5211267605633805
AL,01,Alabama,101,Montgomery County,01101,MONTGOMERY,105,6762,1.5527950310559007
AL,01,Alabama,103,Morgan County,01103,MORGAN,11,2533,0.43426766679826295
AL,01,Alabama,105,Perry County,01105,PERRY,2,368,0.5434782608695652
AL,01,Alabama,107,Pickens County,01107,PICKENS,2,412,0.48543689320388345
AL,01,Alabama,109,Pike County,01109,PIKE,5,788,0.6345177664974619
AL,01,Alabama,111,Randolph County,01111,RANDOLPH,13,488,2.663934426229508
AL,01,Alabama,113,Russell County,01113,RUSSELL,47,1695,2.7728613569321534
AL,01,Alabama,115,St. Clair County,01115,SAINT CLAIR,30,1071,2.801120448179272
AL,01,Alabama,117,Shelby County,01117,SHELBY,76,4895,1.5526046986721145
AL,01,Alabama,119,Sumter County,01119,SUMTER,7,381,1.837270341207349
AL,01,Alabama,121,Talladega County,01121,TALLADEGA,27,1172,2.303754266211604
AL,01,Alabama,123,Tallapoosa County,01123,TALLAPOOSA,7,672,1.0416666666666665
AL,01,Alabama,125,Tuscaloosa County,01125,TUSCALOOSA,113,5623,2.009603414547395
AL,01,Alabama,127,Walker County,01127,WALKER,15,880,1.7045454545454544
AL,01,Alabama,129,Washington County,01129,WASHINGTON,4,310,1.2903225806451613
AL,01,Alabama,131,Wilcox County,01131,WILCOX,1,355,0.28169014084507044
AL,01,Alabama,133,Winston County,01133,WINSTON,15,364,4.1208791208791204
AK,02,Alaska,013,Aleutians East Borough,02013,ALEUTIANS EAST,1,72,1.3888888888888888
AK,02,Alaska,090,Fairbanks North Star Borough,02090,FAIRBANKS NORTH STAR,1,1794,0.055741360089186176
AK,02,Alaska,110,Juneau City and Borough,02110,JUNEAU,5,812,0.6157635467980296
AK,02,Alaska,122,Kenai Peninsula Borough,02122,KENAI PENINSULA,8,1779,0.44969083754918493
AK,02,Alaska,130,Ketchikan Gateway Borough,02130,KETCHIKAN GATEWAY,1,539,0.1855287569573284
AK,02,Alaska,185,North Slope Borough,02185,NORTH SLOPE,1,34,2.941176470588235
AK,02,Alaska,220,Sitka City and Borough,02220,SITKA,3,529,0.5671077504725899
AZ,04,Arizona,001,Apache County,04001,APACHE,3,210,1.4285714285714286
